train_env,run_name,avg_reward,learning_rate,batch_size,n_steps,gae_lambda,ent_coef,CustomHopper-target-v0_mean,Hopper-Target-Mass-Easy-v0_mean,Hopper-Target-Mass-Medium-v0_mean,Hopper-Target-Mass-Hard-v0_mean,Hopper-Target-Fric-Easy-v0_mean,Hopper-Target-Fric-Medium-v0_mean,Hopper-Target-Fric-Hard-v0_mean,Hopper-Target-Both-Easy-v0_mean,Hopper-Target-Both-Medium-v0_mean,Hopper-Target-Both-Hard-v0_mean,CustomHopper-target-v0_std,Hopper-Target-Mass-Easy-v0_std,Hopper-Target-Mass-Medium-v0_std,Hopper-Target-Mass-Hard-v0_std,Hopper-Target-Fric-Easy-v0_std,Hopper-Target-Fric-Medium-v0_std,Hopper-Target-Fric-Hard-v0_std,Hopper-Target-Both-Easy-v0_std,Hopper-Target-Both-Medium-v0_std,Hopper-Target-Both-Hard-v0_std
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_default,1231.97,0.0003,64,2048,0.95,0.0,1652.09,1666.99,1620.75,594.19,1642.15,1756.07,435.68,1647.4,948.17,356.19,11.26,13.7,43.25,5.39,8.12,15.32,1.04,10.81,5.36,1.41
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_lr_3e-6,187.95,3e-06,64,2048,0.95,0.0,178.15,177.15,182.85,187.3,173.52,202.96,202.23,172.86,205.1,197.42,0.31,0.73,1.63,1.85,0.86,1.63,1.53,0.57,1.31,1.39
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_lr_3e-5,321.56,3e-05,64,2048,0.95,0.0,368.04,366.94,319.69,271.03,270.21,660.98,268.42,132.15,323.02,235.16,61.26,105.72,16.88,15.76,164.04,7.04,6.74,7.37,2.33,6.42
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_lr_3e-3,217.16,0.003,64,2048,0.95,0.0,306.8,318.5,309.49,300.81,302.37,150.27,57.89,291.34,79.9,54.24,34.23,29.05,33.99,67.27,24.24,120.69,6.95,36.78,68.33,14.13
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_batch_32,706.67,0.0003,32,2048,0.95,0.0,1000.12,1128.0,755.73,590.38,923.34,555.45,348.05,989.48,459.86,316.26,49.56,121.71,14.93,3.37,25.05,14.69,6.95,9.76,6.07,1.47
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_batch_128,885.79,0.0003,128,2048,0.95,0.0,1075.37,1445.96,1014.37,1053.73,843.45,950.07,360.77,938.02,858.16,318.02,170.51,253.29,262.63,174.96,67.01,17.25,12.7,22.87,6.45,1.01
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_batch_256,732.81,0.0003,256,2048,0.95,0.0,1155.6,1213.33,775.74,870.31,852.92,583.3,339.22,785.12,443.0,309.54,48.67,47.71,133.47,76.05,61.99,2.69,0.97,109.83,5.87,1.24
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_batch_512,448.93,0.0003,512,2048,0.95,0.0,390.05,405.18,521.15,817.96,334.23,654.4,288.7,339.49,476.95,261.22,72.89,73.76,45.83,220.03,3.56,15.73,0.66,2.97,60.36,1.18
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_nsteps_512,840.55,0.0003,64,512,0.95,0.0,1247.44,1244.42,910.99,619.91,1283.25,729.52,379.81,1171.06,468.34,350.77,177.22,181.89,91.09,34.15,134.07,215.05,58.32,341.07,124.96,2.95
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_nsteps_1024,837.5,0.0003,64,1024,0.95,0.0,1528.13,1536.48,1252.08,793.96,734.15,631.79,364.02,731.25,489.55,313.58,23.79,19.36,102.49,23.19,175.54,14.47,1.72,119.28,7.86,1.39
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_nsteps_4096,770.81,0.0003,64,4096,0.95,0.0,1099.64,1251.04,854.16,640.3,870.26,832.02,355.93,896.83,597.9,310.06,166.08,232.59,13.83,2.54,17.31,24.07,1.24,40.98,5.34,1.37
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_gae_0-9,1078.41,0.0003,64,2048,0.9,0.0,1661.71,1688.44,1129.61,637.15,1579.6,1019.03,375.6,1527.03,816.6,349.34,59.79,44.31,157.68,7.38,152.74,18.17,1.95,272.76,2.57,1.24
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_gae_1-0,896.6,0.0003,64,2048,1.0,0.0,1330.9,1508.64,907.32,635.05,1454.8,595.92,386.15,1375.38,438.03,333.84,73.78,91.43,33.67,5.47,90.06,11.51,1.28,240.09,3.31,0.91
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_ent_0-001,726.55,0.0003,64,2048,0.95,0.001,977.19,1083.07,831.91,607.91,919.5,625.86,384.0,969.71,537.31,329.02,11.36,25.54,3.68,4.65,7.91,12.28,1.55,12.74,6.22,1.12
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_ent_0-01,1221.63,0.0003,64,2048,0.95,0.01,1642.3,1648.52,1529.45,707.03,1632.2,1685.32,462.92,1637.94,912.17,358.49,1.4,2.87,179.73,16.37,2.81,14.47,4.15,2.22,8.71,1.72
Hopper-Mass-Gauss-20-v0,Mass-Gauss-20_ent_0-1,52.58,0.0003,64,2048,0.95,0.1,46.24,45.91,49.86,50.25,46.04,52.43,61.94,46.11,60.99,66.08,0.96,1.36,2.55,2.97,1.46,2.11,1.84,1.7,2.38,1.87
Hopper-Fric-Uni-50-v0,Fric-Uni-50_default,815.8,0.0003,64,2048,0.95,0.0,1161.46,1275.2,890.12,615.3,1113.05,674.96,383.71,1154.41,558.57,331.22,155.74,151.27,26.53,9.91,109.68,14.86,0.99,148.74,8.21,1.02
Hopper-Fric-Uni-50-v0,Fric-Uni-50_lr_3e-6,190.85,3e-06,64,2048,0.95,0.0,180.72,179.73,185.48,190.22,177.34,205.42,205.79,176.1,207.07,200.63,1.27,0.97,1.37,1.8,1.54,1.82,1.35,1.09,1.79,1.66
Hopper-Fric-Uni-50-v0,Fric-Uni-50_lr_3e-5,336.58,3e-05,64,2048,0.95,0.0,345.32,320.16,338.11,465.12,291.2,460.81,281.08,284.61,328.86,250.56,40.9,23.44,6.7,119.54,19.21,7.31,1.75,33.51,2.42,1.08
Hopper-Fric-Uni-50-v0,Fric-Uni-50_lr_3e-3,403.41,0.003,64,2048,0.95,0.0,343.01,422.58,318.61,421.23,441.35,362.72,525.11,463.08,465.85,270.57,199.44,174.1,204.81,177.51,164.06,197.1,0.5,143.06,139.15,3.62
Hopper-Fric-Uni-50-v0,Fric-Uni-50_batch_32,1056.61,0.0003,32,2048,0.95,0.0,1440.47,1425.37,1495.97,869.95,1447.19,927.13,399.43,1431.33,784.06,345.21,4.92,3.61,38.26,4.61,4.46,13.76,1.25,5.69,29.24,1.36
Hopper-Fric-Uni-50-v0,Fric-Uni-50_batch_128,1103.07,0.0003,128,2048,0.95,0.0,1491.11,1533.8,1471.53,1420.02,1353.34,852.84,385.52,1394.55,805.91,322.07,108.68,75.56,54.46,62.25,101.81,11.81,1.52,162.29,18.66,1.28
Hopper-Fric-Uni-50-v0,Fric-Uni-50_batch_256,578.25,0.0003,256,2048,0.95,0.0,876.9,815.55,684.69,1093.7,459.37,486.45,313.96,287.17,482.4,282.27,88.71,113.36,79.15,274.87,249.91,10.55,1.3,10.77,9.0,1.82
Hopper-Fric-Uni-50-v0,Fric-Uni-50_batch_512,451.61,0.0003,512,2048,0.95,0.0,488.45,437.22,549.61,682.05,387.3,556.24,318.83,365.68,441.06,289.65,126.94,68.21,6.02,66.71,51.16,68.16,3.86,32.12,13.62,3.91
Hopper-Fric-Uni-50-v0,Fric-Uni-50_nsteps_512,569.61,0.0003,64,512,0.95,0.0,866.91,880.63,512.0,457.8,707.2,460.64,374.73,683.08,431.62,321.45,175.26,145.18,120.81,167.72,94.34,8.53,2.21,80.84,2.17,2.32
Hopper-Fric-Uni-50-v0,Fric-Uni-50_nsteps_1024,855.15,0.0003,64,1024,0.95,0.0,1152.88,1191.05,1031.26,755.48,1386.25,540.41,364.23,1366.5,442.19,321.24,182.74,242.86,46.73,81.21,178.62,35.37,1.66,160.08,9.02,1.04
Hopper-Fric-Uni-50-v0,Fric-Uni-50_nsteps_4096,1122.97,0.0003,64,4096,0.95,0.0,1169.18,1183.93,1449.31,1185.42,1458.28,1537.45,420.12,1176.66,1309.15,340.16,2.92,4.57,2.24,78.2,97.36,86.38,2.02,3.49,13.27,1.61
Hopper-Fric-Uni-50-v0,Fric-Uni-50_gae_0-9,1172.52,0.0003,64,2048,0.9,0.0,1548.14,1552.43,1486.61,1489.55,1532.74,903.96,386.85,1536.38,949.11,339.47,10.36,7.1,10.77,13.85,22.35,18.9,1.51,11.08,69.14,1.31
Hopper-Fric-Uni-50-v0,Fric-Uni-50_gae_1-0,922.74,0.0003,64,2048,1.0,0.0,1417.71,1348.34,1272.22,856.98,1305.15,717.71,320.87,1121.57,561.43,305.45,221.45,245.15,139.15,55.77,226.7,13.15,7.86,220.0,16.7,9.39
Hopper-Fric-Uni-50-v0,Fric-Uni-50_ent_0-001,1085.03,0.0003,64,2048,0.95,0.001,1472.93,1465.27,1563.1,929.45,1479.22,880.13,399.95,1474.34,853.87,332.05,2.44,2.72,11.54,19.73,1.95,21.15,1.45,1.75,22.69,1.53
Hopper-Fric-Uni-50-v0,Fric-Uni-50_ent_0-01,737.38,0.0003,64,2048,0.95,0.01,959.73,1174.44,490.84,404.44,1197.44,815.11,283.05,1183.87,579.23,285.65,565.72,556.78,310.17,251.17,452.33,153.52,8.71,492.16,106.78,11.57
Hopper-Fric-Uni-50-v0,Fric-Uni-50_ent_0-1,50.36,0.0003,64,2048,0.95,0.1,46.02,45.93,46.7,42.19,44.0,52.5,61.25,44.34,60.21,60.46,2.06,0.96,2.69,0.93,1.21,2.43,1.87,1.35,2.03,1.71
